00  02/06/95 08h06
34  01/08/95 12h20
68  30/09/95 16h40
01  04/06/95 02h34
35  03/08/95 06h48
69  02/10/95 11h09
02  05/06/95 21h03
36  05/08/95 01h17
70  04/10/95 05h37
03  07/06/95 15h31
37  06/08/95 09h56
71  06/10/95 00h06
04  09/06/95 10h00
38  08/08/95 14h15
72  07/10/95 18h35
05  11/06/95 04h28
39  10/08/95 08h44
73  09/10/95 13h04
06  12/06/95 22h57
40  12/08/95 03h12
74  11/10/95 07h33
07  14/06/95 17h25
41  13/08/95 21h41
75  13/10/95 02h01
08  16/06/95 11h54
42  15/08/95 16h10
76  14/10/95 20h30
09  18/06/95 06h22
43  17/08/95 10h39
77  16/10/95 14h59
10  20/06/95 00h51
44  19/08/95 05h08
78  18/10/95 09h28
11  21/06/95 19h20
45  20/08/95 23h26
79  20/10/95 03h57
12  23/06/95 13h48
46  22/08/95 18h05
80  21/10/95 22h26
13  25/06/95 08h17
47  24/08/95 12h34
81  23/10/95 16h54
14  27/06/95 02h45
48  26/08/95 07h03
82  25/10/95 11h23
15  28/06/95 21h14
49  28/08/95 01h32
83  27/10/95 05h52
16  30/06/95 15h43
50  29/08/95 20h00
84  29/10/95 00h21
17  02/07/95 10h11
51  31/08/95 14h29
85  30/10/95 18h50
18  04/07/95 04h40
52  02/09/95 08h58
86  01/11/95 13h18
19  05/07/95 23h09
53  04/09/95 03h27
87  03/11/95 07h47
20  07/07/95 17h37
54  05/09/95 21h56
88  05/11/95 02h16
21  09/07/95 12h06
55  07/09/95 16h25
89  06/11/95 20h45
22  11/07/95 06h35
56  09/09/95 10h54
90  08/11/95 15h13
23  13/07/95 01h03
57  11/09/95 05h22
91  10/11/95 09h42
24  14/07/95 19h32
58  12/09/95 23h51
92  12/11/95 04h11
25  16/07/95 14h01
59  14/09/95 18h20
93  13/11/95 22h40
26  18/07/95 08h30
60  16/09/95 12h49
94  15/11/95 17h09
27  20/07/95 02h58
61  18/09/95 07h18
95  17/11/95 11h37
28  21/07/95 21h27
62  20/09/95 01h47
96  19/11/95 06h06
29  23/07/95 15h56
63  21/09/95 20h15
97  21/11/95 00h35
30  25/07/95 10h24
64  23/09/95 14h44
98  22/11/95 19h04
31  27/07/95 04h53
65  25/09/95 09h13
32  28/07/95 23h22
66  27/09/95 03h42
33  30/07/95 17h51
67  28/09/95 22h11
