Elapsed s, Pressure dBar, Conductivity S/m, Temperature degC, Density SG, Sound Speed m/s
966,776.260009,3.42534,5.9552,1.030739087,1486.736948
976,783.297973,3.42282,5.972899,1.030729574,1486.860645
986,790.188964,3.4199,5.9134,1.030788296,1486.768199
996,797.089965,3.41694,5.8771,1.030824945,1486.73772
1007,804.751037,3.41404,5.8388,1.030867144,1486.714653
1017,811.807006,3.412,5.8371,1.030880065,1486.793108
1027,818.650024,3.40996,5.803,1.030922488,1486.780541
1037,825.699035,3.40796,5.7622,1.030972407,1486.753595
1047,833.429016,3.40477,5.7302,1.031006364,1486.744095
1057,840.491027,3.40173,5.6792,1.031056698,1486.674469
1068,847.570983,3.3977,5.626,1.031100385,1486.58465
1078,854.600952,3.39371,5.5649,1.031151623,1486.472855
1088,862.374023,3.38984,5.4928,1.031217359,1486.34435
1098,869.402954,3.3868,5.4875,1.031224485,1486.397695
1108,876.429992,3.38456,5.4089,1.03130775,1486.262765
1118,883.657043,3.382,5.4671,1.031260164,1486.499347
1129,891.418945,3.37942,5.3636,1.031366836,1486.302896
1139,898.563964,3.37706,5.3235,1.031413237,1486.272674
1149,905.887023,3.37509,5.2604,1.031485582,1486.187947
1159,912.856079,3.37288,5.3005,1.031456915,1486.376312
1169,920.640014,3.37056,5.2413,1.031524313,1486.304283
1179,927.640014,3.36896,5.2518,1.031529158,1486.421107
1190,934.549011,3.36676,5.2485,1.03154127,1486.489922
1200,941.716003,3.36476,5.1928,1.031605631,1486.422042
1210,949.634948,3.3625,5.1781,1.031632121,1486.474706
1220,956.690063,3.36112,5.1462,1.031679135,1486.47925
1230,963.979003,3.3593,5.0722,1.031762942,1486.365276
1240,971.223999,3.35716,5.0425,1.031801849,1486.367501
1251,978.952026,3.35422,4.9656,1.031880214,1486.235585
1261,986.258972,3.35104,4.9805,1.031867766,1486.346056
1271,993.442016,3.34822,4.8895,1.031958277,1486.167893
1281,1000.670043,3.34519,4.965,1.031889509,1486.446547
1291,1008.838989,3.34215,4.8755,1.031980584,1486.284615
1301,1015.861022,3.34012,4.7844,1.032077666,1486.114567
1312,1023.024047,3.33761,4.8322,1.032039392,1486.323637
1322,1030.239013,3.33526,4.8382,1.032042417,1486.420372
1332,1038.262939,3.33268,4.7904,1.03209758,1486.377599
1342,1045.395996,3.33018,4.7647,1.032128859,1486.382916
1352,1052.575927,3.32739,4.7212,1.032174529,1486.335195
1363,1059.731079,3.32479,4.6457,1.032252134,1486.200872
1373,1067.706054,3.3221,4.6225,1.032282769,1486.223351
1383,1074.87207,3.31963,4.5758,1.032334316,1486.170782
1393,1082.125,3.31748,4.6172,1.032305631,1486.369467
1403,1089.41101,3.31564,4.5288,1.032402896,1486.211984
1413,1097.418945,3.31421,4.4862,1.032463529,1486.199538
1424,1104.606079,3.31292,4.541101,1.032429521,1486.447839
1434,1111.731079,3.31126,4.5033,1.032479792,1486.431205
1444,1118.957031,3.30943,4.507,1.032489592,1486.529347
1454,1126.127075,3.30779,4.4071,1.032599155,1486.340211
1464,1134.093994,3.30595,4.4258,1.032597644,1486.491857
1474,1141.078979,3.30348,4.4373,1.032593165,1486.598296
1485,1148.437988,3.30111,4.2931,1.032738952,1486.276636
1495,1155.66101,3.2988,4.3661,1.03267841,1486.56136
1505,1163.652099,3.29649,4.255,1.032795935,1486.342797
1515,1170.953979,3.29421,4.2889,1.032773098,1486.519869
1525,1178.22705,3.2921,4.2463,1.032824386,1486.484561
1535,1185.402099,3.28958,4.2342,1.032842522,1486.526975
1546,1193.245971,3.28688,4.1998,1.032882948,1486.51466
1556,1200.606079,3.28435,4.1528,1.032934893,1486.46165
1566,1207.833007,3.28177,4.1209,1.032971464,1486.448082
1576,1215.157958,3.27923,4.0828,1.033014695,1486.419121
1586,1223.127075,3.2775,4.0621,1.033051504,1486.461722
1596,1230.384033,3.27566,4.0026,1.033121278,1486.381814
1607,1237.682006,3.27339,3.951,1.033179755,1486.318089
1617,1245.098999,3.27089,3.9314,1.033206082,1486.342946
1627,1253.08496,3.26798,3.9248,1.033218572,1486.407303
1637,1260.23706,3.26509,3.8994,1.03324569,1486.405461
1647,1267.590087,3.26332,3.8597,1.03329763,1486.383466
1658,1275.100952,3.26202,3.7844,1.033388586,1486.270297
1668,1283.272949,3.26053,3.8373,1.033358171,1486.527838
1678,1290.588012,3.25861,3.7486,1.033455329,1486.363819
1688,1297.957031,3.25689,3.7689,1.033450524,1486.512677
1698,1305.23999,3.25517,3.7541,1.03347887,1486.560625
1708,1313.161987,3.25342,3.7419,1.033507102,1486.625691
1719,1320.641967,3.25204,3.6961,1.033568998,1486.593937
1729,1327.812988,3.25015,3.7151,1.033563026,1486.733436
1739,1335.172973,3.24817,3.6675,1.033620539,1486.685246
1749,1343.127929,3.24646,3.6389,1.033664904,1486.704687
1759,1350.565063,3.24493,3.5811,1.033736706,1486.63543
1769,1357.886962,3.2434,3.5865,1.033747624,1486.74423
1780,1365.212036,3.24146,3.5527,1.033792193,1486.735027
1790,1373.334106,3.23967,3.5368,1.033824349,1486.791876
1800,1380.640869,3.23823,3.4841,1.033891591,1486.736089
1810,1388.142944,3.23687,3.4542,1.033938588,1486.749644
1820,1395.429931,3.23542,3.4863,1.033924507,1486.935375
1830,1403.395019,3.23339,3.3871,1.034033494,1486.747825
1841,1410.666992,3.23205,3.4179,1.034021563,1486.931387
1851,1418.124023,3.23071,3.4121,1.034045467,1487.013312
1861,1425.491943,3.22974,3.4185,1.034060794,1487.134496
1871,1433.717041,3.22824,3.3765,1.034121014,1487.12264
1881,1441.062011,3.22738,3.3339,1.034184187,1487.104888
1891,1448.452026,3.22624,3.3133,1.034223848,1487.146433
1902,1455.96997,3.22542,3.2942,1.034265606,1487.199319
1912,1463.965942,3.2241,3.3182,1.034263333,1487.37557
1922,1471.442993,3.22294,3.2887,1.034311679,1487.392656
1932,1478.883056,3.22146,3.2474,1.034368186,1487.370224
1942,1486.2229,3.21986,3.2577,1.034373672,1487.492341
1952,1494.402099,3.21786,3.2252,1.034419898,1487.498759
1963,1501.734985,3.21639,3.2061,1.034454752,1487.538368
1973,1509.125,3.21485,3.2029,1.034473936,1487.623478
1983,1516.63208,3.2135,3.1883,1.034506315,1487.680677
1993,1524.619018,3.2121,3.1328,1.034579434,1487.627079
2003,1531.820922,3.21046,3.1286,1.034597827,1487.704677
2014,1539.249023,3.20906,3.1103,1.034632943,1487.749083
2024,1546.647094,3.20792,3.0989,1.034663761,1487.81697
2034,1554.762939,3.20706,3.0976,1.034690498,1487.929903
2044,1562.234985,3.20636,3.0743,1.034737182,1487.971619
2054,1569.562988,3.20587,3.0638,1.034772968,1488.051236
2064,1576.940063,3.20536,3.0369,1.034824515,1488.084026
2075,1585.177978,3.20447,3.0348,1.034852221,1488.196164
2085,1592.392944,3.20393,3.0259,1.034885525,1488.277803
2095,1599.780029,3.20344,3.0257,1.034911657,1488.388115
2105,1607.136962,3.20276,3.0098,1.034950944,1488.449627
2115,1615.124023,3.20218,2.9856,1.035001758,1488.49887
2125,1622.48413,3.20172,2.932,1.035079409,1488.454996
2136,1630.072021,3.20112,2.9795,1.035059436,1488.704634
2146,1637.223999,3.20024,2.9521,1.035107035,1488.726445
2156,1645.48706,3.19915,2.9079,1.035173415,1488.714174
2166,1652.937866,3.1984,2.9275,1.035178272,1488.878708
2176,1660.369873,3.19766,2.9186,1.035210562,1488.9607
2186,1667.694946,3.1968,2.8997,1.03525089,1489.010136
2197,1675.289062,3.19572,2.8852,1.035286013,1489.073126
2207,1683.44104,3.19441,2.8384,1.035352354,1489.047881
2217,1690.670898,3.19332,2.8465,1.035364112,1489.170277
