0.6614 -2.0865  0.0033
0.4011 -2.2320  0.0037
0.5055 -2.1180  0.0034
0.9583 -2.3931  0.0034
0.2936 -2.3702  0.0034
0.4115 -2.2123  0.0035
0.7483 -2.1437  0.0034
0.2101 -2.4464  0.0035
0.7634 -2.1555  0.0035
0.1105 -2.4705  0.0035
0.0034 -2.4206  0.0038
0.0992 -2.4638  0.0036
0.1116 -2.4644  0.0033
0.4536 -2.1593  0.0034
0.5111 -2.1057  0.0033
0.5507 -2.0795  0.0033
0.9053 -2.3264  0.0033
0.0066 -2.4465  0.0033
0.3694 -2.2859  0.0034
0.4199 -2.2181  0.0033
0.1474 -2.4759  0.0038
0.5190 -2.1139  0.0034
0.5979 -2.0794  0.0034
0.0154 -2.4306  0.0034
0.0757 -2.4652  0.0034
0.3916 -2.2216  0.0036
0.4996 -2.1097  0.0034
0.9250 -2.3662  0.0033
0.9894 -2.4255  0.0042
0.7993 -2.1936  0.0037
0.6282 -2.0675  0.0034
0.0803 -2.4625  0.0035
0.5609 -2.0804  0.0034
